semi_NB_result	semi_KNN_result	semi_LR_result	semi_RF_result	semi_SVM_result
1	1	1	1	1
1	0	1	0	1
1	1	1	1	1
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	1	0	1
1	1	1	1	1
0	1	1	0	0
1	1	1	0	0
0	1	0	0	0
1	1	1	1	1
0	0	1	0	0
0	0	0	0	0
0	1	0	0	0
1	1	1	1	1
1	1	0	0	0
1	1	0	0	0
0	0	0	0	0
0	0	0	0	0
0	1	0	1	0
1	1	1	1	1
0	0	0	0	0
1	1	0	0	0
0	0	0	0	0
1	1	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	1	0	1
1	1	1	1	1
0	0	0	0	0
1	1	0	1	0
0	0	0	0	0
1	1	1	0	1
1	1	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	1	0	1
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
0	1	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
1	1	1	1	0
0	0	0	0	0
1	1	1	0	1
1	1	1	1	1
1	1	0	0	0
1	0	0	0	0
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
0	1	0	0	0
0	0	0	0	0
1	1	0	0	0
1	1	1	1	1
0	1	1	1	1
1	0	0	1	0
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
1	1	1	0	0
0	1	0	0	0
0	1	0	0	0
1	1	1	1	1
0	1	0	0	0
1	1	1	1	1
0	1	1	0	0
1	1	0	0	1
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
0	1	0	0	0
0	0	0	0	0
0	0	0	0	0
0	1	0	0	0
1	1	1	0	0
0	0	0	0	0
0	1	0	0	0
0	0	0	0	0
0	0	1	0	0
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
0	1	0	0	0
0	0	0	0	0
0	1	0	0	0
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
0	0	0	0	0
1	1	1	1	1
0	1	0	0	0
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
1	1	0	0	0
1	1	0	0	0
0	0	0	0	0
1	1	1	0	1
1	1	0	0	0
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
0	1	1	1	0
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
0	0	0	0	0
1	1	1	1	1
1	1	1	1	0
0	1	1	0	0
0	0	1	0	0
1	1	1	1	1
1	1	1	0	1
0	0	0	0	0
0	1	0	0	0
1	1	1	0	1
0	1	0	0	0
1	0	1	0	0
1	1	0	1	0
0	0	0	0	0
0	1	1	1	1
0	0	0	0	0
0	1	0	0	0
1	1	1	0	1
1	1	1	0	1
0	1	0	1	0
1	1	1	1	1
0	0	0	0	0
0	1	1	1	1
1	1	1	1	1
1	1	1	0	1
0	1	0	0	0
1	1	1	0	1
0	0	0	0	0
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	1	1	1
1	1	0	0	0
1	1	1	1	1
0	0	0	0	0
1	0	1	1	1
1	1	1	1	1
0	1	0	1	0
1	1	1	1	1
1	1	1	1	0
1	0	1	1	1
0	1	0	1	0
0	0	1	1	1
1	1	1	1	1
0	0	0	1	0
1	1	1	1	1
0	0	0	0	0
0	1	0	0	0
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
0	1	0	0	0
1	1	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	0	1	0
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
1	1	0	0	0
1	1	1	1	1
1	1	1	1	1
0	1	0	0	0
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
1	1	1	1	1
1	1	0	1	0
1	1	1	0	0
0	0	0	0	0
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	1	0	1
1	1	0	0	0
0	0	0	0	0
1	1	1	0	1
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
1	1	1	0	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	0	1	1	1
1	1	1	1	1
1	1	1	0	0
1	1	1	1	1
1	1	1	1	1
1	1	1	0	1
0	1	1	1	1
1	1	0	0	0
1	1	1	1	1
1	1	1	1	1
1	1	0	0	0
1	1	1	0	0
1	1	0	0	0
1	1	1	1	1
1	1	0	0	0
1	1	1	1	1
1	1	1	1	1
0	0	0	0	0
1	1	1	0	0
1	1	1	1	1
1	1	1	1	1
1	1	0	1	0
1	1	1	1	1
1	1	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	1	1	1
0	1	0	0	0
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1	0	0	0	0
0	0	0	0	0
0	0	1	1	1
0	1	0	0	0
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	0	0	1
0	0	0	0	0
1	0	0	0	0
0	0	0	0	0
0	1	1	0	1
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
1	1	1	1	1
0	0	1	1	0
0	1	0	0	0
0	1	0	0	0
0	0	0	0	0
1	1	0	0	0
1	1	0	0	0
1	1	1	1	1
1	1	1	1	1
0	1	0	1	0
0	1	0	0	0
1	1	0	1	0
0	0	0	0	0
0	0	0	0	0
0	1	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	1	0	0
1	0	0	0	0
0	1	0	0	0
1	1	0	1	0
0	0	1	1	0
1	1	1	1	1
1	1	0	1	0
1	1	0	1	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	0	0	0
1	1	1	1	1
1	1	1	1	1
0	1	0	0	0
1	1	1	1	1
1	1	0	0	0
1	1	0	0	0
0	1	0	0	0
0	1	1	1	1
0	0	0	0	0
0	1	1	0	1
1	1	0	0	0
1	1	1	1	1
0	0	0	0	0
1	1	1	1	1
0	1	1	1	0
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	1	1	0	0
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	0	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
0	1	0	0	0
1	1	1	0	0
1	1	1	1	1
1	1	1	1	1
0	0	0	0	0
1	1	0	1	1
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	0	1	0
1	1	1	1	1
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
1	1	0	0	0
1	1	1	0	1
0	0	0	0	0
0	1	1	0	1
0	1	1	0	0
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
1	1	1	0	1
1	1	0	1	1
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	0	0	1
0	0	0	0	0
1	1	1	1	1
0	1	0	1	0
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	0	0
0	0	0	0	0
1	1	1	1	0
0	0	0	0	0
0	0	0	0	0
1	1	1	0	1
1	1	1	1	1
1	1	1	1	1
0	0	1	0	1
1	1	1	1	1
1	1	1	1	1
1	1	0	1	0
0	1	0	0	0
1	1	0	0	0
0	0	0	0	0
1	1	1	0	1
1	1	1	1	1
1	1	0	1	0
0	0	0	0	0
0	0	0	0	0
1	0	0	0	0
1	1	1	1	1
0	1	0	0	0
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	0	1	0
1	1	0	1	0
1	1	1	1	1
0	0	1	0	0
1	1	1	1	1
0	0	0	0	0
1	1	0	0	0
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
0	0	1	0	1
0	1	1	0	1
1	1	1	1	1
0	0	0	0	0
1	1	1	1	1
1	1	0	0	0
1	1	1	1	1
0	0	0	0	0
0	1	0	0	0
0	0	0	0	0
0	0	0	0	0
0	1	0	0	0
1	1	1	1	1
1	1	0	0	0
1	1	1	1	1
1	1	1	1	1
0	0	0	0	0
0	1	0	0	0
1	1	1	1	1
1	1	0	0	0
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
0	1	0	0	0
1	1	0	0	0
0	1	0	0	0
0	0	0	0	0
0	1	0	0	0
0	0	0	0	0
1	1	0	0	0
1	1	1	1	1
1	1	1	0	1
0	1	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	1	1	1
0	1	0	0	0
1	1	1	1	1
1	0	0	0	0
1	1	1	1	1
1	1	1	1	1
0	0	0	0	0
0	1	0	0	0
1	1	1	1	1
0	0	0	0	0
1	1	1	0	1
1	1	0	1	0
1	1	0	0	1
1	1	1	1	1
0	1	0	0	0
1	1	1	1	1
0	0	0	0	0
1	1	1	0	1
1	1	1	1	1
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
1	1	1	1	1
0	0	1	0	0
0	0	0	0	0
0	1	0	0	0
1	1	1	0	1
1	1	1	1	1
1	0	0	1	0
1	1	0	0	0
1	1	1	1	1
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
1	1	1	0	0
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
0	0	1	0	0
1	1	1	0	0
1	1	1	1	1
1	1	0	0	0
1	1	1	0	1
0	0	0	0	0
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
1	1	1	0	1
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
1	1	0	0	0
0	1	0	0	0
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
0	1	0	0	0
1	1	1	1	1
1	1	1	1	1
0	0	0	0	0
1	1	0	0	0
0	0	0	0	0
1	1	1	1	1
1	1	0	1	0
1	1	0	0	0
1	1	0	1	0
1	1	0	0	0
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	1	0	0	0
1	1	1	1	1
0	0	0	0	0
1	1	1	0	1
1	0	0	0	0
1	1	1	0	1
1	1	1	1	1
1	1	0	0	0
1	1	1	1	1
0	1	0	0	0
1	1	1	1	1
0	1	0	0	0
1	1	0	0	0
0	1	1	0	1
1	1	0	0	0
1	1	1	1	1
0	1	0	0	0
0	0	0	0	0
0	1	0	0	0
0	1	1	1	0
0	0	0	0	0
0	0	0	0	0
1	1	1	1	1
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
0	0	0	0	0
0	1	1	1	1
0	0	0	0	0
1	1	1	1	1
1	1	1	1	1
0	1	1	1	1
0	0	0	0	0
0	0	0	0	0
0	1	0	0	0
0	0	0	0	0
1	1	1	1	1
1	1	0	1	0
0	1	0	0	0
0	1	0	0	0
0	1	0	0	0
1	1	0	1	0
0	0	0	0	0
1	1	0	0	0
1	1	1	1	1
1	1	0	0	0
1	1	1	1	1
1	1	1	1	1
0	1	1	0	0
0	0	0	0	0
1	1	0	0	0
1	1	1	1	1
0	0	0	0	0
0	1	0	0	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
